  173CHOL   ROH 2065   5.566   7.728   3.213 -0.0179  0.0802 -0.0208
  173CHOL    R1 2066   5.585   7.752   3.494 -0.0180  0.0671 -0.0204
  173CHOL    R2 2067   5.494   7.973   3.631 -0.2076 -0.0280  0.0081
  173CHOL    R3 2068   5.354   7.788   3.773 -0.0329 -0.1711  0.0028
  173CHOL    R4 2069   5.451   7.981   3.974 -0.2103 -0.0811  0.0098
  173CHOL    R5 2070   5.479   7.764   3.977 -0.0028 -0.0602  0.0007
  173CHOL    C1 2071   5.295   7.811   4.307 -0.0480 -0.2464  0.0058
  173CHOL    C2 2072   5.348   8.010   4.668 -0.1123 -0.0131 -0.0529
  174CHOL   ROH 2073  12.999   4.125   4.112  0.1182  0.0530 -0.0626
  174CHOL    R1 2074  12.984   4.113   4.394  0.0366  0.0882 -0.0667
  174CHOL    R2 2075  13.184   4.002   4.550 -0.1172 -0.0959 -0.0153
  174CHOL    R3 2076  13.176   4.243   4.675  0.0949 -0.0822 -0.0195
  174CHOL    R4 2077  13.283   4.056   4.877  0.0920 -0.1760 -0.0611
  174CHOL    R5 2078  13.111   4.190   4.900  0.1703 -0.0571  0.0225
  174CHOL    C1 2079  13.332   4.314   5.185  0.4129 -0.2097 -0.0917
  174CHOL    C2 2080  13.556   4.144   5.543 -0.2370 -0.1466  0.1725
  175CHOL   ROH 2081  10.547   1.886   6.843  0.0530  0.2003  0.0138
  175CHOL    R1 2082  10.694   2.001   6.630  0.0505  0.2240  0.0223
  175CHOL    R2 2083  10.769   1.858   6.406  0.1229  0.2220  0.0359
  175CHOL    R3 2084  10.643   2.059   6.274  0.0764  0.1758  0.0132
  175CHOL    R4 2085  10.825   1.941   6.076 -0.1209  0.0186 -0.0615
  175CHOL    R5 2086  10.813   2.152   6.132 -0.0170  0.0494 -0.1785
  175CHOL    C1 2087  10.739   2.178   5.759 -0.3065 -0.1432 -0.1395
  175CHOL    C2 2088  10.688   2.355   5.423  0.0659 -0.1194 -0.0564
  176CHOL   ROH 2089   2.309   2.219   3.672 -0.1382 -0.2179 -0.1655
  176CHOL    R1 2090   2.304   2.289   3.947 -0.0611 -0.1857 -0.1706
  176CHOL    R2 2091   2.097   2.435   4.060 -0.0040 -0.1191 -0.1381
  176CHOL    R3 2092   2.087   2.224   4.232 -0.0173 -0.1013 -0.1191
  176CHOL    R4 2093   1.906   2.421   4.348  0.1322 -0.0171 -0.0415
  176CHOL    R5 2094   2.072   2.323   4.448  0.1339 -0.0839 -0.1184
  176CHOL    C1 2095   1.786   2.216   4.676  0.1991  0.0589  0.0326
  176CHOL    C2 2096   1.703   2.453   4.813 -0.2451 -0.3948 -0.0826
  177CHOL   ROH 2097   9.596   7.794   6.580  0.0338  0.0765 -0.1538
  177CHOL    R1 2098   9.525   7.681   6.331 -0.0032 -0.0763 -0.0747
  177CHOL    R2 2099   9.348   7.804   6.156 -0.0311 -0.1901 -0.1150
  177CHOL    R3 2100   9.554   7.774   5.981 -0.0655 -0.2898 -0.1431
  177CHOL    R4 2101   9.314   7.761   5.815 -0.1147  0.1327 -0.1552
  177CHOL    R5 2102   9.475   7.615   5.821 -0.2753 -0.0765 -0.2765
  177CHOL    C1 2103   9.487   7.708   5.452 -0.1956  0.2271 -0.2049
  177CHOL    C2 2104   9.379   7.823   5.097  0.1493 -0.0517 -0.2542
  178CHOL   ROH 2105   5.894   1.619   6.176 -0.3015 -0.0857 -0.0855
  178CHOL    R1 2106   5.995   1.600   5.913 -0.1109 -0.0754 -0.0151
  178CHOL    R2 2107   5.843   1.665   5.690  0.0248 -0.1387 -0.1226
  178CHOL    R3 2108   6.053   1.828   5.635  0.0165 -0.0799  0.0057
  178CHOL    R4 2109   5.921   1.789   5.377  0.0537  0.0631 -0.0404
  178CHOL    R5 2110   6.131   1.755   5.421  0.0536  0.0577 -0.0322
  178CHOL    C1 2111   6.163   2.014   5.143  0.0628  0.2358  0.1279
  178CHOL    C2 2112   6.231   2.294   4.956  0.1264  0.0194  0.0654
  179CHOL   ROH 2113   6.576   2.580   6.278 -0.1153  0.2594 -0.0053
  179CHOL    R1 2114   6.713   2.734   6.084  0.0004  0.1309 -0.0246
  179CHOL    R2 2115   6.856   2.620   5.876 -0.1541 -0.0035 -0.0452
